174_0	763967	764326
174_1	764326	764424
164_0	714820	714835
164_1	714835	715138
164_2	715138	715313
154_0	674181	674278
164_3	715313	715328
144_0	614557	614665
134_0	604744	605412
134_1	605412	605638
134_2	605638	605932
134_3	605932	606341
124_0	588146	588434
134_4	606341	606962
124_1	588434	588449
134_5	606962	606977
124_2	588449	588698
134_6	606977	606992
124_3	588698	589507
114_0	547977	548336
124_4	589507	589968
114_1	548336	548496
124_5	589968	590217
114_2	548496	548861
124_6	590217	590522
114_3	548861	549124
104_0	511297	512099
124_7	590522	590537
114_4	549124	549528
104_1	512099	512337
124_8	590537	590839
114_5	549528	549621
104_2	512337	512506
124_9	590839	591401
114_6	549621	549764
104_3	512506	513160
114_7	549764	549927
104_4	513160	513323
114_8	549927	550105
104_5	513323	513818
114_9	550105	550362
104_6	513818	514546
104_7	514546	514902
104_8	514902	515106
104_9	515106	515311
175_0	764424	764553
165_0	715328	715473
165_1	715473	715659
165_2	715659	716003
155_0	674278	674518
165_3	716003	716147
155_1	674518	674746
165_4	716147	716315
155_2	674746	674969
165_5	716315	716418
145_0	614665	614992
155_3	674969	674984
165_6	716418	716580
145_1	614992	615193
155_4	674984	675202
165_7	716580	716595
145_2	615193	615336
155_5	675202	675468
165_8	716595	716728
145_3	615336	615719
135_0	606992	607113
155_6	675468	675647
165_9	716728	717150
145_4	615719	616135
135_1	607113	607323
155_7	675647	676093
145_5	616135	616847
135_2	607323	607338
155_8	676093	676219
145_6	616847	617185
125_0	592498	592583
155_9	676219	676385
145_7	617185	617450
145_8	617450	617863
145_9	617863	618041
115_0	551119	551346
115_1	551346	551611
115_2	551611	552269
115_3	552269	552431
105_0	527500	527976
115_4	552431	552599
105_1	527976	528082
115_5	552599	552846
105_2	528082	528372
115_6	552846	553477
115_7	553477	553783
115_8	553783	554196
115_9	554196	554314
5_10	7925	8284
5_11	8284	8749
5_12	8749	9379
5_13	9379	9393
5_14	9393	9959
5_15	9959	10670
5_16	10670	10881
5_17	10881	11455
5_18	11455	11532
176_0	764553	764636
176_1	764636	764929
176_2	764929	765291
166_0	747385	747482
176_3	765291	765528
166_1	747482	747584
176_4	765528	765789
166_2	747584	747686
176_5	765789	765804
156_0	682662	683035
166_3	747686	747783
176_6	765804	765917
156_1	683035	683549
176_7	765917	766352
156_2	683549	683794
176_8	766352	766813
146_0	623366	623512
156_3	683794	684087
176_9	766813	767277
146_1	623512	623685
156_4	684087	684542
146_2	623685	623785
156_5	684542	684823
136_0	607338	607418
146_3	623785	623928
156_6	684823	685043
136_1	607418	607626
146_4	623928	624329
156_7	685043	685269
136_2	607626	607846
146_5	624329	625138
156_8	685269	685437
136_3	607846	608227
126_0	592583	592598
146_6	625138	625266
156_9	685437	685999
136_4	608227	608322
126_1	592598	592675
146_7	625266	625364
136_5	608322	608797
136_6	608797	608908
116_0	556484	556753
136_7	608908	608979
136_8	608979	609052
136_9	609052	609382
106_0	528372	528581
106_1	528581	529348
106_2	529348	529524
106_3	529524	529630
106_4	529630	529731
106_5	529731	530322
106_6	530322	530532
106_7	530532	530877
106_8	530877	531208
106_9	531208	531435
177_0	771865	771941
167_0	747783	748353
157_0	697254	697269
147_0	625364	625450
147_1	625450	625697
147_2	625697	626171
137_0	610541	610703
147_3	626171	626330
147_4	626330	626590
147_5	626590	626974
127_0	592675	592891
147_6	626974	627257
117_0	556753	556943
117_1	556943	557103
117_2	557103	557548
117_3	557548	557869
107_0	534957	535050
117_4	557869	558394
107_1	535050	535150
117_5	558394	558742
117_6	558742	558757
117_7	558757	559250
117_8	559250	559624
117_9	559624	559910
178_0	771941	772134
178_1	772134	772302
178_2	772302	772417
168_0	748353	748737
178_3	772417	772630
168_1	748737	749020
168_2	749020	749182
158_0	697269	697342
168_3	749182	749424
158_1	697342	697850
168_4	749424	749573
158_2	697850	699137
168_5	749573	750290
148_0	627257	627494
158_3	699137	699765
168_6	750290	750801
148_1	627494	627608
158_4	699765	700172
168_7	750801	750993
148_2	627608	627693
158_5	700172	700654
168_8	750993	751120
138_0	610703	611325
148_3	627693	627803
158_6	700654	701014
168_9	751120	751511
148_4	627803	627908
158_7	701014	701757
148_5	627908	627997
158_8	701757	702003
128_0	592891	592906
148_6	627997	628012
158_9	702003	702646
179_10	776661	777144
148_7	628012	628114
179_11	777144	777453
148_8	628114	628211
179_12	777453	777898
118_0	561644	562347
179_13	777898	778336
118_1	562347	563202
179_14	778336	778779
118_2	563202	563580
179_15	778779	779101
118_3	563580	565068
108_0	535150	535236
179_16	779101	779117
118_4	565068	565635
179_17	779117	779211
118_5	565635	566825
179_18	779211	779351
118_6	566825	567039
176_10	767277	767749
179_19	779351	779701
118_7	567039	567254
176_11	767749	768305
118_8	567254	567351
176_12	768305	768442
118_9	567351	567425
176_13	768442	768572
176_14	768572	768858
176_15	768858	769022
176_16	769022	769353
176_17	769353	770044
179_20	779701	779788
176_18	770044	770599
179_21	779788	779975
176_19	770599	770996
179_22	779975	780168
179_23	780168	780184
179_24	780184	780494
172_10	762226	762983
179_25	780494	780702
172_11	762983	763413
179_26	780702	781266
172_12	763413	763662
179_27	781266	781512
171_10	758481	758570
172_13	763662	763808
179_28	781512	781859
171_11	758570	758749
176_20	770996	771327
179_29	781859	782220
176_21	771327	771865
179_30	782220	782454
179_31	782454	782665
179_32	782665	783104
179_33	783104	783554
179_34	783554	783630
179_35	783630	783722
179_36	783722	783738
168_10	751511	751865
168_11	751865	752315
168_12	752315	752674
165_10	717150	717333
165_11	717333	717424
165_12	717424	717806
165_13	717806	717999
165_14	717999	718352
165_15	718352	718479
165_16	718479	718555
165_17	718555	718780
165_18	718780	719449
165_19	719449	719930
161_10	705904	706285
161_11	706285	706378
161_12	706378	706797
161_13	706797	707606
161_14	707606	708239
165_20	719930	720534
161_15	708239	708885
165_21	720534	720738
161_16	708885	709208
165_22	720738	720920
161_17	709208	709658
165_23	720920	721418
161_18	709658	710319
165_24	721418	721625
161_19	710319	710457
165_25	721625	721717
165_26	721717	721813
165_27	721813	721899
165_28	721899	721980
165_29	721980	722064
161_20	710457	710674
161_21	710674	711251
161_22	711251	711550
161_23	711550	712136
161_24	712136	712376
165_30	722064	722346
161_25	712376	712768
165_31	722346	722775
161_26	712768	713269
165_32	722775	722866
161_27	713269	713386
165_33	722866	723123
161_28	713386	713713
165_34	723123	723437
161_29	713713	713813
165_35	723437	723779
165_36	723779	724132
158_10	702646	702842
165_37	724132	724319
158_11	702842	702976
165_38	724319	724488
158_12	702976	702992
165_39	724488	725060
158_13	702992	703008
161_30	713813	714287
156_10	685999	686234
161_31	714287	714303
156_11	686234	686457
156_12	686457	686797
155_10	676385	676592
156_13	686797	687258
165_40	725060	725220
155_11	676592	676987
156_14	687258	687406
165_41	725220	725236
155_12	676987	678054
156_15	687406	687585
165_42	725236	725357
155_13	678054	678539
156_16	687585	687832
165_43	725357	725645
155_14	678539	678985
156_17	687832	687964
165_44	725645	726109
155_15	678985	679067
156_18	687964	688278
165_45	726109	726387
153_10	661599	662052
155_16	679067	679186
156_19	688278	688524
165_46	726387	726484
153_11	662052	662340
155_17	679186	679284
165_47	726484	726606
153_12	662340	662539
155_18	679284	679370
165_48	726606	726728
152_10	653910	654125
153_13	662539	663036
155_19	679370	679504
165_49	726728	726744
152_11	654125	654258
153_14	663036	663333
152_12	654258	654561
153_15	663333	663634
151_10	650578	650820
152_13	654561	655107
153_16	663634	663839
152_14	655107	655239
153_17	663839	664002
156_20	688524	689146
152_15	655239	655987
153_18	664002	664220
156_21	689146	689512
150_10	646019	646301
152_16	655987	656451
153_19	664220	664307
156_22	689512	689831
150_11	646301	646700
152_17	656451	656777
155_20	679504	679612
156_23	689831	690076
165_50	726744	726898
150_12	646700	647160
152_18	656777	656972
155_21	679612	679821
156_24	690076	690464
165_51	726898	727391
150_13	647160	647458
152_19	656972	657181
155_22	679821	680929
156_25	690464	690861
165_52	727391	727625
150_14	647458	647681
155_23	680929	682016
156_26	690861	691310
165_53	727625	728016
150_15	647681	647697
155_24	682016	682122
156_27	691310	691434
165_54	728016	728397
155_25	682122	682427
156_28	691434	691995
165_55	728397	728526
153_20	664307	664446
155_26	682427	682547
156_29	691995	692142
165_56	728526	728888
153_21	664446	664569
155_27	682547	682662
165_57	728888	728975
153_22	664569	665012
165_58	728975	729319
152_20	657181	657335
153_23	665012	665285
165_59	729319	729630
152_21	657335	657611
153_24	665285	665382
152_22	657611	658020
153_25	665382	665711
152_23	658020	658360
153_26	665711	666092
153_27	666092	666545
156_30	692142	692158
153_28	666545	666825
156_31	692158	692589
153_29	666825	667321
